PlateID,Num_CIL_images,Num_CIL_wells,Num_CIL_complete wells,Num_CIL_sites,Num_CIL_complete_sites,Num_QC_stats,Num_blurry_sites,Num_saturated_sites,Num_well_profiles
24277,11520,384,384,2304,2304,2304,0,75,382
24278,2445,82,81,489,489,489,1,6,384
24279,11520,384,384,2304,2304,2304,0,30,384
24280,11520,384,384,2304,2304,2304,0,48,384
24293,11520,384,384,2304,2304,2304,0,32,384
24294,11520,384,384,2304,2304,2304,0,47,383
24295,11520,384,384,2304,2304,2304,0,37,384
24296,11520,384,384,2304,2304,2304,0,35,383
24297,7875,263,262,1575,1575,1575,0,20,383
24300,11520,384,384,2304,2304,2304,0,25,384
24301,11520,384,384,2304,2304,2304,0,39,384
24302,11520,384,384,2304,2304,2304,0,21,383
24303,11520,384,384,2304,2304,2304,0,24,384
24304,11520,384,384,2304,2304,2304,0,22,384
24305,11520,384,384,2304,2304,2304,0,25,384
24306,11520,384,384,2304,2304,2304,0,39,383
24307,755,26,25,151,151,151,0,2,384
24308,11520,384,384,2304,2304,2304,0,32,383
24309,11520,384,384,2304,2304,2304,0,17,384
24310,11520,384,384,2304,2304,2304,0,18,383
24311,11520,384,384,2304,2304,2304,0,26,384
24312,11520,384,384,2304,2304,2304,0,72,384
24313,11520,384,384,2304,2304,2304,0,19,384
24319,3490,117,116,698,698,698,0,7,382
24320,11520,384,384,2304,2304,2304,6,19,383
24321,11520,384,384,2304,2304,2304,0,13,384
24352,11520,384,384,2304,2304,2304,0,31,383
24357,11520,384,384,2304,2304,2304,0,24,384
24507,11520,384,384,2304,2304,2304,0,8,384
24508,11520,384,384,2304,2304,2304,0,13,384
24509,11520,384,384,2304,2304,2304,0,12,384
24512,11520,384,384,2304,2304,2304,0,49,384
24514,11520,384,384,2304,2304,2304,0,6,384
24515,11520,384,384,2304,2304,2304,0,11,384
24516,11520,384,384,2304,2304,2304,1,21,384
24517,11520,384,384,2304,2304,2304,0,8,383
24518,11520,384,384,2304,2304,2304,0,4,384
24523,11520,384,384,2304,2304,2304,0,4,384
24525,11520,384,384,2304,2304,2304,0,3,384
24560,11520,384,384,2304,2304,2304,0,1,384
24562,11520,384,384,2304,2304,2304,3,7,384
24563,11520,384,384,2304,2304,2304,0,4,384
24564,11520,384,384,2304,2304,2304,0,5,384
24565,11520,384,384,2304,2304,2304,0,3,384
24566,11520,384,384,2304,2304,2304,0,6,384
24583,11520,384,384,2304,2304,2304,0,0,384
24584,11520,384,384,2304,2304,2304,0,2,384
24585,11520,384,384,2304,2304,2304,0,6,384
24586,11520,384,384,2304,2304,2304,0,4,384
24588,11520,384,384,2304,2304,2304,0,2,384
24590,11520,384,384,2304,2304,2304,1,17,384
24591,11520,384,384,2304,2304,2304,0,1,382
24592,11520,384,384,2304,2304,2304,0,0,384
24593,11520,384,384,2304,2304,2304,0,6,384
24594,11520,384,384,2304,2304,2304,0,1,383
24595,11520,384,384,2304,2304,2304,0,5,384
24596,11520,384,384,2304,2304,2304,0,2,382
24602,11520,384,384,2304,2304,2304,0,4,383
24604,11520,384,384,2304,2304,2304,0,5,384
24605,11520,384,384,2304,2304,2304,0,4,383
24609,11520,384,384,2304,2304,2304,0,8,383
24611,11520,384,384,2304,2304,2304,0,2,383
24617,11520,384,384,2304,2304,2304,0,9,383
24618,11520,384,384,2304,2304,2304,0,5,383
24619,11520,384,384,2304,2304,2304,0,4,383
24623,7240,325,155,1448,1448,1448,0,7,384
24624,11520,384,384,2304,2304,2304,0,10,383
24625,11520,384,384,2304,2304,2304,1,23,384
24631,11520,384,384,2304,2304,2304,9,13,383
24633,11520,384,384,2304,2304,2304,0,0,383
24634,6800,284,283,1700,0,,,,382
24635,11520,384,384,2304,2304,2304,0,7,384
24636,11520,384,384,2304,2304,2304,0,3,384
24637,11520,384,384,2304,2304,2304,0,1,383
